policy,regime,principled_choice_rate,mean_principle_score,mean_task_value,constitutional_violation_rate
tdc_gen24,external_pressure_only,1.0,0.8796249177486178,0.719634818122025,0.0
tdc_gen24,internal_moral_gap,1.0,0.8795236591315857,0.7187778688191265,0.0
tdc_gen24,reward_capture_conflict,1.0,0.8794945518951899,0.6308323620186485,0.0
tdc_gen24,authority_conflict,1.0,0.8794046466905118,0.630496226034665,0.0
reward_maximizer,external_pressure_only,0.34291666666666665,0.6296229930139233,0.7830685526421124,0.003958333333333334
reward_maximizer,internal_moral_gap,0.349375,0.6330094905695678,0.781996935912579,0.0028125
reward_maximizer,reward_capture_conflict,0.0036458333333333334,0.30228939580245034,0.9081388845205758,0.6040625
reward_maximizer,authority_conflict,0.09427083333333333,0.3540257808394149,0.7655996969254099,0.55375
authority_follower,external_pressure_only,0.030729166666666665,0.5109566032382435,0.7580885959255454,0.005208333333333333
authority_follower,internal_moral_gap,0.027916666666666666,0.5112772946760631,0.7576479507473198,0.0038541666666666668
authority_follower,reward_capture_conflict,0.026145833333333333,0.3153298300991977,0.9007829882482703,0.59
authority_follower,authority_conflict,0.0,0.29911578326081395,0.7611346697051125,0.6126041666666666
simple_principle,external_pressure_only,1.0,0.8796249177486178,0.719634818122025,0.0
simple_principle,internal_moral_gap,1.0,0.8795236591315857,0.7187778688191265,0.0
simple_principle,reward_capture_conflict,1.0,0.8794945518951899,0.6308323620186485,0.0
simple_principle,authority_conflict,1.0,0.8794046466905118,0.630496226034665,0.0
